3.75	-0.04	0.15	0.05
0.15	0.03	0.15	0.05
0.75	-0.035	0.15	0.05
1.35	-0.045	0.15	0.05
0.75	-0.025	0.15	0.05
1.5	-0.025	0.15	0.05
1.65	-0.025	0.15	0.05
1.65	-0.015	0.15	0.05
1.8	-0.01	0.15	0.05
2.1	-0.005	0.15	0.05
2.4	-0.015	0.15	0.05
2.7	-0.01	0.15	0.05
3	-0.005	0.15	0.05
3.15	0	0.15	0.05
3.45	0	0.15	0.05
3.75	0.02	0.15	0.05
4.05	0.06	0.15	0.05
4.2	0.125	0.15	0.05
4.5	0.25	0.15	0.05
4.65	0.39	0.15	0.05
4.95	0.38	0.15	0.05
5.25	0.31	0.15	0.05
5.55	0.225	0.15	0.05
5.85	0.12	0.15	0.05
6	0.065	0.15	0.05
6.3	0.035	0.15	0.05
6.6	0.01	0.15	0.05
6.9	0.005	0.15	0.05
7.2	-0.005	0.15	0.05
7.35	-0.005	0.15	0.05
7.65	0.015	0.15	0.05
7.8	0.05	0.15	0.05
8.1	0.13	0.15	0.05
8.4	0.22	0.15	0.05
8.7	0.395	0.15	0.05
8.85	0.6	0.15	0.05
9.15	0.94	0.15	0.05
9.45	1.135	0.15	0.05
9.75	1.305	0.15	0.05
9.9	1.15	0.15	0.05
10.2	0.84	0.15	0.05
10.5	0.55	0.15	0.05
10.8	0.325	0.15	0.05
11.1	0.165	0.15	0.05
11.1	0.09	0.15	0.05
11.4	0.065	0.15	0.05
11.7	0.04	0.15	0.05
12	0.04	0.15	0.05
12.3	0.045	0.15	0.05
12.45	0.055	0.15	0.05
12.6	0.17	0.15	0.05
12.75	0.31	0.15	0.05
13.05	0.61	0.15	0.05
13.35	0.94	0.15	0.05
13.8	1.39	0.15	0.05
14.1	1.845	0.15	0.05
14.4	2.22	0.15	0.05
14.55	2.385	0.15	0.05
14.85	2.2	0.15	0.05
15.15	1.7	0.15	0.05
15.3	1.135	0.15	0.05
15.6	0.735	0.15	0.05
15.9	0.425	0.15	0.05
16.2	0.19	0.15	0.05
16.35	0.15	0.15	0.05
16.65	0.12	0.15	0.05
16.95	0.115	0.15	0.05
17.25	0.15	0.15	0.05
17.55	0.245	0.15	0.05
17.7	0.43	0.15	0.05
17.85	0.63	0.15	0.05
18.15	1.045	0.15	0.05
18.45	1.525	0.15	0.05
18.75	2.04	0.15	0.05
18.9	2.725	0.15	0.05
19.2	3.235	0.15	0.05
19.5	3.545	0.15	0.05
19.8	3.39	0.15	0.05
20.1	2.875	0.15	0.05
20.25	2.21	0.15	0.05
20.55	1.575	0.15	0.05
20.85	1.035	0.15	0.05
21.15	0.665	0.15	0.05
21.3	0.43	0.15	0.05
21.45	0.305	0.15	0.05
21.75	0.235	0.15	0.05
22.05	0.245	0.15	0.05
22.35	0.355	0.15	0.05
22.5	0.565	0.15	0.05
22.8	0.875	0.15	0.05
23.1	1.355	0.15	0.05
23.4	1.955	0.15	0.05
23.7	2.675	0.15	0.05
23.85	3.375	0.15	0.05
24.15	4.16	0.15	0.05
24.45	4.55	0.15	0.05
24.6	4.58	0.15	0.05
24.9	4.35	0.15	0.05
25.05	3.65	0.15	0.05
25.35	2.89	0.15	0.05
25.65	2.2	0.15	0.05
25.95	1.625	0.15	0.05
26.25	1.165	0.15	0.05
26.4	0.85	0.15	0.05
26.7	0.66	0.15	0.05
27	0.585	0.15	0.05
27.3	0.63	0.15	0.05
27.45	0.75	0.15	0.05
27.75	1.085	0.15	0.05
27.9	1.505	0.15	0.05
28.2	2.16	0.15	0.05
28.5	2.95	0.15	0.05
28.8	3.84	0.15	0.05
28.95	4.665	0.15	0.05
29.25	5.41	0.15	0.05
29.55	5.79	0.15	0.05
29.85	5.8	0.15	0.05
30	5.435	0.15	0.05
30.3	4.775	0.15	0.05
30.6	3.955	0.15	0.05
30.9	3.18	0.15	0.05
31.05	2.43	0.15	0.05
31.2	1.935	0.15	0.05
31.5	1.54	0.15	0.05
31.8	1.3	0.15	0.05
31.95	1.3	0.15	0.05
31.95	1.29	0.15	0.05
31.95	1.295	0.15	0.05
31.95	1.295	0.15	0.05
31.95	1.3	0.15	0.05
31.95	1.285	0.15	0.05
31.95	1.27	0.15	0.05
31.95	1.27	0.15	0.05
31.95	1.27	0.15	0.05
31.95	1.265	0.15	0.05
31.95	1.265	0.15	0.05
31.95	1.28	0.15	0.05
31.95	1.28	0.15	0.05
31.95	1.265	0.15	0.05
31.95	1.265	0.15	0.05
31.95	1.265	0.15	0.05
31.95	1.26	0.15	0.05
31.95	1.235	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.23	0.15	0.05
31.95	1.23	0.15	0.05
31.95	1.23	0.15	0.05
31.95	1.23	0.15	0.05
31.95	1.275	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
31.95	1.24	0.15	0.05
