1.95	-0.025	0.15	0.05	
0.45	0.04	0.15	0.05	
1.95	-0.025	0.15	0.05	
2.4	0.005	0.15	0.05	
2.1	-0.01	0.15	0.05	
2.7	-0.035	0.15	0.05	
3	-0.03	0.15	0.05	
2.85	-0.03	0.15	0.05	
3.15	-0.03	0.15	0.05	
2.7	-0.03	0.15	0.05	
2.55	-0.03	0.15	0.05	
2.85	-0.025	0.15	0.05	
3.15	-0.015	0.15	0.05	
3.3	0	0.15	0.05	
3.6	0.02	0.15	0.05	
3.9	0.095	0.15	0.05	
4.05	0.22	0.15	0.05	
4.35	0.415	0.15	0.05	
4.65	0.645	0.15	0.05	
4.8	0.81	0.15	0.05	
5.1	0.79	0.15	0.05	
5.4	0.62	0.15	0.05	
5.7	0.405	0.15	0.05	
6	0.22	0.15	0.05	
6.15	0.1	0.15	0.05	
6.45	0.04	0.15	0.05	
6.75	0.015	0.15	0.05	
7.05	0	0.15	0.05	
7.35	0.005	0.15	0.05	
7.5	0.005	0.15	0.05	
7.65	0.04	0.15	0.05	
7.95	0.105	0.15	0.05	
8.25	0.28	0.15	0.05	
8.55	0.525	0.15	0.05	
8.85	0.895	0.15	0.05	
9	1.39	0.15	0.05	
9.3	1.85	0.15	0.05	
9.6	2.285	0.15	0.05	
9.9	2.435	0.15	0.05	
10.05	2.085	0.15	0.05	
10.35	1.46	0.15	0.05	
10.65	0.88	0.15	0.05	
10.8	0.455	0.15	0.05	
11.1	0.21	0.15	0.05	
11.4	0.08	0.15	0.05	
11.55	0.05	0.15	0.05	
11.85	0.025	0.15	0.05	
12.15	0.025	0.15	0.05	
12.45	0.055	0.15	0.05	
12.75	0.195	0.15	0.05	
12.9	0.46	0.15	0.05	
13.2	0.84	0.15	0.05	
13.5	1.36	0.15	0.05	
13.8	1.985	0.15	0.05	
14.1	2.79	0.15	0.05	
14.1	3.56	0.15	0.05	
14.4	4.22	0.15	0.05	
14.7	4.295	0.15	0.05	
15	3.67	0.15	0.05	
15.3	2.71	0.15	0.05	
15.45	1.755	0.15	0.05	
15.75	1.015	0.15	0.05	
16.05	0.545	0.15	0.05	
16.35	0.265	0.15	0.05	
16.65	0.13	0.15	0.05	
16.8	0.07	0.15	0.05	
17.1	0.07	0.15	0.05	
17.4	0.185	0.15	0.05	
17.55	0.445	0.15	0.05	
17.85	0.85	0.15	0.05	
18	1.42	0.15	0.05	
18.3	2.13	0.15	0.05	
18.6	3.035	0.15	0.05	
18.9	4.095	0.15	0.05	
19.2	5.175	0.15	0.05	
19.35	5.98	0.15	0.05	
19.65	6.165	0.15	0.05	
19.95	5.62	0.15	0.05	
20.25	4.595	0.15	0.05	
20.4	3.44	0.15	0.05	
20.7	2.335	0.15	0.05	
20.85	1.475	0.15	0.05	
21.15	0.91	0.15	0.05	
21.45	0.515	0.15	0.05	
21.75	0.325	0.15	0.05	
21.9	0.28	0.15	0.05	
22.2	0.365	0.15	0.05	
22.5	0.63	0.15	0.05	
22.8	1.1	0.15	0.05	
23.1	1.77	0.15	0.05	
23.25	2.65	0.15	0.05	
23.55	3.745	0.15	0.05	
23.85	5.025	0.15	0.05	
24.15	6.36	0.15	0.05	
24.15	7.445	0.15	0.05	
24.45	8.02	0.15	0.05	
24.75	7.82	0.15	0.05	
25.05	7.05	0.15	0.05	
25.35	5.87	0.15	0.05	
25.5	4.515	0.15	0.05	
25.8	3.285	0.15	0.05	
26.1	2.3	0.15	0.05	
26.4	1.575	0.15	0.05	
26.7	1.13	0.15	0.05	
26.85	0.905	0.15	0.05	
27.15	0.87	0.15	0.05	
27.45	1.03	0.15	0.05	
27.6	1.36	0.15	0.05	
27.9	2.09	0.15	0.05	
28.05	2.92	0.15	0.05	
28.35	4.13	0.15	0.05	
28.65	5.54	0.15	0.05	
28.95	7.015	0.15	0.05	
29.1	8.43	0.15	0.05	
29.4	9.495	0.15	0.05	
29.7	9.935	0.15	0.05	
30	9.7	0.15	0.05	
30.3	8.895	0.15	0.05	
30.45	7.62	0.15	0.05	
30.75	6.25	0.15	0.05	
30.9	4.96	0.15	0.05	
31.2	3.825	0.15	0.05	
31.5	2.99	0.15	0.05	
31.65	2.365	0.15	0.05	
31.95	2.245	0.15	0.05	
31.95	2.245	0.15	0.05	
31.95	2.275	0.15	0.05	
31.95	2.255	0.15	0.05	
31.95	2.28	0.15	0.05	
31.95	2.28	0.15	0.05	
31.95	2.255	0.15	0.05	
31.95	2.26	0.15	0.05	
31.95	2.235	0.15	0.05	
31.95	2.26	0.15	0.05	
31.95	2.265	0.15	0.05	
31.95	2.265	0.15	0.05	
31.95	2.245	0.15	0.05	
31.95	2.265	0.15	0.05	
31.95	2.29	0.15	0.05	
31.95	2.29	0.15	0.05	
31.95	2.29	0.15	0.05	
31.95	2.27	0.15	0.05	
31.95	2.265	0.15	0.05	
31.95	2.27	0.15	0.05	
31.95	2.275	0.15	0.05	
31.95	2.275	0.15	0.05	
31.95	2.28	0.15	0.05	
31.95	2.275	0.15	0.05	
31.95	2.27	0.15	0.05	
31.95	2.275	0.15	0.05	
